NOM,NUMERO,SHAPE_LEN
Sauverny,"4400030",4449.68287927000
Les Colombières,"4400102",2751.84671712000
ZI Riantbosson,"3000080",1672.74260826000
ZIMEYSA - Pré-Bouvier,"3800041",3346.48810045000
ZI Gare - Plantin - Italies,"3000092",2503.27901542000
Aéroport - tour-de-contrôle,"3000051",3117.69644116000
Mategnin,"3000030",4284.25191108000
Cointrin - Les Ailes,"3000071",2232.65521037000
Richelien,"4400010",6134.09839682000
Russin - plateau,"3700020",6536.14257362000
La Touvière,"0300010",3839.64967169000
Arare - Plein-Vent,"3300099",3670.04278794000
Creuson,"4400020",9533.77366108000
Versoix-la-Ville,"4400050",2630.19925463000
Ravoux,"4400110",2979.28541313000
Argand,"4400120",2603.31233871000
Crève-Coeur,"4400082",2198.66466450000
Saint-Loup,"4400101",1986.62219916000
Petit-Saint-Loup,"4400041",3817.39356307000
Ecogia,"4400042",5640.62299791000
La Rosière,"1500020",7973.79442014000
La Bâtie,"1500030",7202.52305753000
Bossy,"1500010",3600.09456372000
Collex,"1500050",5359.15057030000
Cointrin - Pré-Bois,"3000072",1893.67041628000
WYSS,"2114061",1246.56233629000
Molards,"3700010",5884.66579830000
Bourdigny,"3800030",7151.72865972000
Aéroport - FORESTIER,"3000053",3510.94416459000
Verbois,"3700030",4066.82628531000
BOISSONNAS,"2114050",1979.15000958000
Champs-Fréchets,"3000140",2467.74428848000
Les Coudres,"1000050",4674.76749047000
Céligny - lac,"1000030",5673.06665321000
Murat,"1000020",4929.10431194000
Céligny - village,"1000040",4061.46891727000
Les Bondex,"1000010",4678.76686963000
Saint-Maurice,"1600040",5017.75696609000
Seymaz,"4200041",4622.50689611000
Carre-d'Aval,"2900060",3923.99061762000
Crête,"4200039",6075.30702615000
Meinier - Pallanterie,"2900011",2167.44797702000
Meinier - Essert,"2900012",3276.04393850000
Collonge,"1600020",3715.52924192000
La Pallanterie,"1600059",4469.79293269000
Avully - Eaumorte,"0300020",9150.94137391000
Le Renfort,"0400050",5050.95297290000
Cannelet,"1100050",3613.09307732000
Acacias - Etoile,"0800020",2060.23148538000
ZIMEYSA - Bergère,"3000102",3308.24735189000
CERN,"3000010",3417.72921784000
ZIMEYSA - Montfleury,"3000101",2851.01888825000
Choully,"3800020",9912.76221127000
Satigny - Grands-Bois,"3800010",8634.86173454000
Peissy,"3800090",7272.62503982000
Satigny - village,"3800100",5881.53552313000
La Boverie,"3800080",4446.62485480000
Peney,"3800079",6992.95620664000
Luchepelet,"0700061",2616.14678951000
Le Coteau,"1800010",3151.37810288000
Russin - village,"3700050",3674.57277241000
Malval,"2000030",7834.46949434000
Roulave,"2000020",7913.19304816000
Essertines,"2000040",4123.46793415000
La Tuilière,"2000010",6623.42220492000
Dardagny,"2000060",5031.33588727000
Saint-Georges - Bâtie,"2114010",3926.56897843000
La Croix-de-Bally,"2500030",5546.74360631000
Anières - douane,"0200030",8101.39947206000
Chevrens,"0200020",3407.05559936000
Anières - village,"0200040",2237.94160220000
Les Palettes,"2800080",2413.74700712000
Vésenaz - village,"1600072",3470.83891211000
Vandoeuvres - village,"4200020",3620.33048406000
Epeisses,"0300050",5052.90450222000
Avully - Gennecy,"0300040",1707.87631871000
Saint-François,"2112021",1448.03729142000
Hôpital,"2111020",2300.87649619000
Fontenette - GEVRIL,"0800062",1926.82004556000
Clos-de-la-Fonderie,"0800051",1218.90227410000
Fontenette - stade,"0800052",1776.62376319000
Les Délices,"2103010",1613.30083768000
Malombré,"2111030",1443.45791441000
James-FAZY,"2102020",1658.60005190000
Vessy - Grande-Fin,"4500020",5331.61244454000
Petit-Bel-Air,"1300050",3170.07690143000
Parc BERTRAND,"2111040",1478.83657034000
Cara,"3500010",4836.46764623000
Bougeries - Chapeau,"1200032",2337.26528735000
Rond-Point-de-Rive,"2101031",1149.37907272000
La Californie,"1600069",4216.20998385000
Moillesulaz,"4000040",2089.25358825000
Saint-Paul,"1700011",1669.99197198000
Stade-de-Frontenex,"1700012",2382.98489543000
Ruth - Nant d'Argent,"1700040",6253.31276469000
Beaupré,"2400010",3122.91492701000
Les Semailles,"2800152",2072.46223677000
Les Verjus,"2800090",2771.44182355000
Champ-Gredin,"3300089",3111.21377588000
Carre-d'Amont,"2900070",3124.08000282000
Adrien-JEANDIN,"4000060",2046.76362921000
Perly-Certoux - campagne,"3200020",8708.49451505000
Belle-Idée,"4000010",3535.83630002000
Compesières,"0500020",5245.19296519000
Arare - La Gravière,"3300109",3483.78349348000
Les Voirets,"3300030",2992.23883501000
ZIPLO,"3300010",3457.96501936000
Plaine-de-l'Aire - Les Charrotons,"1800042",2972.85096776000
Deux-Communes,"4000050",1580.75179990000
Perly,"3200030",3198.92300380000
Cologny - village,"1700030",4460.38269532000
Saconnex-d'Arve - Dessus,"3300070",3077.59234028000
Bessinge - La Rippaz,"4200010",5149.50380788000
Monniaz,"2600070",3998.82366612000
Les Tranchées,"2101040",1792.76345554000
Bourg-de-Four,"2101080",1721.89113031000
Chevillarde - Ermitage,"1200040",2396.01385603000
Cité,"2101070",1600.00005188000
Bougeries - Clos-du-Velours,"1200031",1632.72694777000
Les Bastions,"2101060",1142.32642288000
Saint-Léger,"2101051",975.09498021700
Contamines,"2122100",1634.26674580000
De-BEAUMONT,"2122010",998.95811139800
Landecy,"0500050",3892.35429656000
Le Château,"0400010",4284.13787121000
Les Creux-du-Loup,"0400029",8390.66844374000
Le Pigeonnier,"0400039",3870.84279324000
Passeiry,"1100040",4229.35647437000
Chancy - village,"1100029",3389.03862135000
Chancy - Les Bois,"1100010",6170.97895488000
Chancy - plateau,"1100039",9425.32765539000
Les Philosophes,"2112010",1588.49548810000
Avully - village,"0300030",4453.57920375000
Nant-Cayla,"2136032",2183.29486699000
Val-d'Arve,"0800070",2607.08158833000
Les Falaises,"2111060",2145.60706117000
Cressy - Evaux,"1800031",3221.90479837000
Palexpo,"2300079",2718.69393604000
Chêne-Bougeries - village,"1200090",2215.66026422000
Grand-Donzel,"4500071",3713.67648278000
Les Longeraies,"2400030",5817.62751484000
Usine à gaz,"4300091",2511.64081933000
Les Gravières,"0400040",8961.50606833000
Saint-Gervais - temple,"2102042",1541.47190189000
Grange-Canal,"1200050",1845.56150481000
Pâquis - centre,"2104022",955.97000324500
Pâquis - Navigation,"2104021",981.52222885900
DASSIER,"2103021",910.40965284900
Montchoisy,"2121080",1074.26516903000
Jargonnant,"2121090",1276.12868154000
Frontenex,"2121030",1729.66308715000
La Grande-Boissière,"2122040",1536.89232048000
La Petite-Boissière,"2122050",1561.88724062000
La Florence,"2122060",2079.62530988000
Eugène-PITTARD,"2122070",1058.00485838000
Plateau-de-Champel,"2111051",1264.91935864000
KRIEG,"2122090",1400.94914974000
Sur-la-Ville,"1400020",7847.69951827000
Jussy - village,"2600030",4663.27121111000
Compois,"2900050",6577.45795720000
Plateau de Bel-Air,"1300040",2838.67923966000
Les Vollandes,"2121050",1843.24627161000
Belmont,"2122030",1692.09696540000
